stockcode,description,category,revenue,qty_sold,orders,avg_price,cancel_rate,revenue_share
48187,Doormat New England,Doormat,33203.79,5291,818,8.37,0.47,0.1622
22382,Lunch Bag Spaceboy Design,Lunch,33049.37,19604,2108,1.9,0.91,0.1614
15036,Assorted Colours Silk Fan,Assorted,32967.03,44272,991,0.99,1.39,0.161
22726,Alarm Clock Bakelike Green,Alarm,32609.32,7671,1273,4.47,1.91,0.1593
22385,Jumbo Bag Spaceboy Design,Jumbo,32433.5,17057,1248,2.44,0.94,0.1584
82486,Wood S/3 Cabinet Ant White Finish,Wood,31594.39,3994,1072,8.51,3.3,0.1543
22139,Retrospot Tea Set Ceramic 11 Pc,Retrospot,31527.12,6168,1321,5.66,2.37,0.154
22077,6 Ribbons Rustic Charm,6,31513.109999999997,17238,1751,2.11,0.84,0.1539
85152,Hand Over The Chocolate   Sign,Hand,31483.7,16373,1460,2.3,0.54,0.1538
22865,Hand Warmer Owl Design,Hand,31416.04,14537,1212,2.36,1.1,0.1534
23245,Set Of 3 Regency Cake Tins,Set,31118.550000000003,6345,873,5.88,4.05,0.152
21479,White Skull Hot Water Bottle,White,31079.8,6219,930,4.69,0.84,0.1518
23199,Jumbo Bag Apples,Jumbo,30450.690000000002,14908,978,2.57,2.09,0.1487
22501,Picnic Basket Wicker Large,Picnic,30339.36,2612,762,13.59,4.15,0.1482
20725,Lunch Bag Red Spotty,Lunch,30063.27,18085,1219,1.96,2.52,0.1468
20679,Edwardian Parasol Red,Edwardian,30020.97,6149,715,6.66,1.24,0.1466
22697,Green Regency Teacup And Saucer,Green,29952.550000000003,9621,1340,3.79,4.08,0.1463
84946,Antique Silver Tea Glass Etched,Antique,29828.78,22032,1080,1.55,2.51,0.1457
22659,Lunch Box I Love London,Lunch,29561.859999999997,15941,1074,2.33,1.96,0.1444
84029G,Knitted Union Flag Hot Water Bottle,Knitted,29533.87,6830,1009,4.79,0.86,0.1442
20914,Set/5 Red Spotty Lid Glass Bowls,Set/5,29468.52,10706,883,3.18,3.91,0.1439
22622,Box Of Vintage Alphabet Blocks,Box,29450.11,2945,571,11.39,1.03,0.1438
47590B,Pink Happy Birthday Bunting,Pink,29363.86,5738,872,5.74,1.13,0.1434
22158,3 Hearts Hanging Decoration Rustic,3,29198.280000000002,8985,718,3.22,2.01,0.1426
82483,Wood 2 Drawer Cabinet White Finish,Wood,29003.370000000003,4878,1123,6.51,6.98,0.1416
21928,Jumbo Bag Scandinavian Paisley,Jumbo,28962.829999999998,15857,880,2.32,1.52,0.1414
23355,Hot Water Bottle Keep Calm,Hot,28718.8,5816,782,5.27,1.0,0.1403
20971,Pink Blue Felt Craft Trinket Box,Pink,28580.97,22260,1148,1.41,1.02,0.1396
84978,Hanging Heart Jar T-Light Holder,Hanging,28475.96,21689,1425,1.51,3.42,0.1391
22866,Hand Warmer Scotty Dog Design,Hand,28266.870000000003,12778,1083,2.33,0.62,0.138
22752,Set 7 Babushka Nesting Boxes,Set,28139.45,3459,692,9.46,3.45,0.1374
22188,Black Heart Card Holder,Black,28112.03,10353,566,4.46,0.53,0.1373
21977,Pack Of 60 Pink Paisley Cake Cases,Pack,28081.73,56061,1993,0.71,0.54,0.1371
22467,Gumball Coat Rack,Gumball,28059.480000000003,11868,1095,2.84,5.53,0.137
82583,Hot Baths Metal Sign,Hot,27981.99,12877,1176,2.76,1.24,0.1367
23201,Jumbo Bag Alphabet,Jumbo,27850.83,13366,906,2.39,1.51,0.136
21212,Pack Of 72 Retrospot Cake Cases,Pack,27770.72,48156,1708,0.74,0.87,0.1356
20719,Woodland Charlotte Bag,Woodland,27598.42,24479,1573,1.15,1.06,0.1348
21930,Jumbo Storage Bag Skulls,Jumbo,27368.08,13390,1321,2.53,0.45,0.1337
22624,Ivory Kitchen Scales,Ivory,27282.73,3152,1219,9.34,1.21,0.1332
72741,Grand Chocolatecandle,Grand,27239.46,19712,920,1.74,1.7,0.133
22835,Hot Water Bottle I Am So Poorly,Hot,27082.84,5302,1011,5.64,1.07,0.1323
22492,Mini Paint Set Vintage,Mini,27056.19,42286,714,0.77,1.88,0.1321
84991,60 Teatime Fairy Cake Cases,60,27041.21,54028,2127,0.66,0.64,0.1321
22961,Jam Making Set Printed,Jam,26888.43,17252,1200,1.89,1.15,0.1313
22734,Set Of 6 Ribbons Vintage Christmas,Set,26763.75,9772,756,3.26,0.51,0.1307
22386,Jumbo Bag Pink With White Spots,Jumbo,26242.66,14202,802,2.15,1.09,0.1282
22149,Feltcraft 6 Flower Friends,Feltcraft,26218.97,12674,1382,2.38,1.54,0.128
22867,Hand Warmer Bird Design,Hand,26117.63,11872,1054,2.38,0.64,0.1276
22551,Plasters In Tin Spaceboy,Plasters,25912.87,15441,1299,1.81,1.35,0.1266
47566B,Tea Time Party Bunting,Tea,25803.49,5801,761,5.29,1.41,0.126
20711,Jumbo Bag Toys,Jumbo,25719.13,12643,1052,2.73,1.12,0.1256
21481,Fawn Blue Hot Water Bottle,Fawn,25613.45,8174,1050,3.77,1.39,0.1251
22507,Memo Board Retrospot  Design,Memo,25603.46,5455,900,5.94,1.42,0.125
22090,Paper Bunting Retrospot,Paper,25497.960000000003,8406,920,3.77,0.69,0.1245
37503,Tea Time Cake Stand In Gift Box,Tea,25428.33,2465,522,11.72,2.06,0.1242
21485,Retrospot Heart Hot Water Bottle,Retrospot,25408.010000000002,5168,930,5.49,0.84,0.1241
21108,Fairy Cake Flannel Assorted Colour,Fairy,25407.27,12962,613,3.0,0.65,0.1241
22087,Paper Bunting White Lace,Paper,25389.100000000002,8475,847,3.48,1.26,0.124
84755,Colour Glass T-Light Holder Hanging,Colour,25205.13,40439,1259,0.83,2.15,0.1231
22084,Paper Chain Kit Empire,Paper,25163.56,8803,811,3.27,0.48,0.1229
85099B,Jumbo Bag Red White Spotty,Jumbo,25043.62,14060,534,2.19,2.04,0.1223
20724,Red Retrospot Charlotte Bag,Red,24958.77,20663,1255,1.13,1.72,0.1219
22090,Paper Bunting Retro Spots,Paper,24933.940000000002,8292,783,3.56,0.69,0.1218
23173,Regency Teapot Roses,Regency,24879.13,2766,416,11.12,3.0,0.1215
20972,Pink Cream Felt Craft Trinket Box,Pink,24785.31,20496,1397,1.4,0.7,0.121
48138,Door Mat Union Flag,Door,24770.81,3775,673,7.38,0.77,0.121
21314,Small Glass Heart Trinket Pot,Small,24641.390000000003,11426,1066,2.78,5.96,0.1203
23203,Jumbo Bag Vintage Doily,Jumbo,24489.08,11448,711,2.3,1.35,0.1196
22722,Set Of 6 Spice Tins Pantry Design,Set,24459.96,5972,835,4.68,1.51,0.1195
84077,World War 2 Gliders Asstd Designs,World,24445.609999999997,106139,1019,0.28,1.06,0.1194
71459,Hanging Jam Jar T-Light Holder,Hanging,24440.74,30176,925,1.12,3.32,0.1194
84836,Zinc Metal Heart Decoration,Zinc,24289.33,19847,1408,1.38,0.62,0.1186
22728,Alarm Clock Bakelike Pink,Alarm,24257.31,6215,969,4.53,1.8,0.1185
47590A,Blue Happy Birthday Bunting,Blue,24174.010000000002,4752,689,5.79,1.29,0.1181
21231,Sweetheart Ceramic Trinket Box,Sweetheart,24128.86,19428,1482,1.5,4.61,0.1178
21212,Pack Of 72 Retro Spot Cake Cases,Pack,24054.43,46728,1410,0.67,0.87,0.1175
22698,Pink Regency Teacup And Saucer,Pink,23990.620000000003,8049,1024,3.7,4.33,0.1172
22383,Lunch Bag Suki  Design,Lunch,23893.29,14347,1279,2.05,1.3,0.1167
23344,Jumbo Bag 50'S Christmas,Jumbo,23772.07,10285,716,2.42,0.96,0.1161
22171,3 Hook Photo Shelf Antique White,3,23709.46,3141,661,9.8,4.62,0.1158
21790,Vintage Snap Cards,Vintage,23506.17,27244,1888,1.01,0.67,0.1148
23243,Set Of Tea Coffee Sugar Tins Pantry,Set,23489.42,4800,470,5.87,6.92,0.1147
22605,Wooden Croquet Garden Set,Wooden,23426.82,1827,642,14.77,1.98,0.1144
82600,No Singing Metal Sign,No,23096.77,11450,1152,2.39,0.58,0.1128
84406B,Cream Cupid Hearts Coat Hanger,Cream,23080.13,7131,841,3.74,1.39,0.1127
20914,Set/5 Red Retrospot Lid Glass Bowls,Set/5,23040.04,7964,1147,3.26,3.91,0.1125
22625,Red Kitchen Scales,Red,22911.55,2627,950,9.73,2.16,0.1119
22607,Wooden Rounders Garden Set,Wooden,22906.54,2533,744,10.02,1.06,0.1119
21791,Vintage Heads And Tails Card Game,Vintage,22858.6,17604,1313,1.49,0.75,0.1116
22554,Plasters In Tin Woodland Animals,Plasters,22853.719999999998,13588,1275,1.87,0.69,0.1116
22556,Plasters In Tin Circus Parade,Plasters,22334.079999999998,13585,1196,1.77,1.54,0.1091
37449,Ceramic Cake Stand + Hanging Cakes,Ceramic,22333.3,2382,477,11.18,12.93,0.1091
20749,Assorted Colour Mini Cases,Assorted,22097.61,3062,766,8.09,1.28,0.1079
22113,Grey Heart Hot Water Bottle,Grey,22025.93,5759,996,4.2,0.58,0.1076
22585,Pack Of 6 Birdy Gift Tags,Pack,21977.3,17557,1084,1.38,1.14,0.1073
22499,Wooden Union Jack Bunting,Wooden,21826.52,3584,774,6.62,0.38,0.1066
23202,Jumbo Bag Vintage Leaf,Jumbo,21810.43,10941,879,2.3,0.67,0.1065
84970S,Hanging Heart Zinc T-Light Holder,Hanging,21794.26,26444,1425,1.09,0.97,0.1064
22941,Christmas Lights 10 Reindeer,Christmas,21727.58,2615,483,9.71,5.1,0.1061
22456,Natural Slate Chalkboard Large,Natural,21583.2,4416,835,6.31,5.85,0.1054
22969,Homemade Jam Scented Candles,Homemade,21501.989999999998,14461,709,1.77,1.12,0.105
21524,Doormat Spotty Home Sweet Home,Doormat,21414.04,2817,744,8.94,0.35,0.1046
21213,Pack Of 72 Skull Cake Cases,Pack,21390.76,40263,1481,0.74,0.2,0.1045
21258,Victorian Sewing Box Large,Victorian,21386.559999999998,1505,526,17.01,7.38,0.1044
48184,Doormat English Rose,Doormat,21326.3,3234,526,8.51,0.58,0.1042
22139,Retro Spot Tea Set Ceramic 11 Pc,Retro,21301.04,4438,771,5.44,2.37,0.104
22502,Picnic Basket Wicker Small,Picnic,21260.8,3705,922,6.68,1.69,0.1038
85048,15Cm Christmas Glass Ball 20 Lights,15Cm,21201.13,2685,517,9.16,8.74,0.1035
22083,Paper Chain Kit Retro Spot,Paper,21151.79,7579,591,3.39,0.91,0.1033
22570,Feltcraft Cushion Rabbit,Feltcraft,20901.1,5631,807,4.31,0.74,0.1021
22424,Enamel Bread Bin Cream,Enamel,20886.89,1529,739,15.39,3.39,0.102
23206,Lunch Bag Apple Design,Lunch,20852.579999999998,12147,1036,2.06,1.22,0.1018
21218,Red Spotty Biscuit Tin,Red,20800.31,5256,897,5.26,2.91,0.1016
22294,Heart Filigree Dove  Small,Heart,20629.38,16671,861,1.46,0.78,0.1007
22617,Baking Set Spaceboy Design,Baking,20546.99,4251,942,5.3,6.6,0.1003
22693,Grow A Flytrap Or Sunflower In Tin,Grow,20469.08,17875,350,1.46,0.57,0.1
AMAZONFEE,Amazon Fee,Amazon,20467.8,3,3,6822.6,91.67,0.1
20723,Strawberry Charlotte Bag,Strawberry,20401.05,18296,1379,1.14,1.63,0.0996
22568,Feltcraft Cushion Owl,Feltcraft,20244.97,5479,875,4.16,1.01,0.0989
85150,Ladies & Gentlemen Metal Sign,Ladies,20237.72,8361,1110,3.0,1.06,0.0988
48188,Doormat Welcome Puppies,Doormat,20209.4,3414,428,8.8,0.85,0.0987
22273,Feltcraft Doll Molly,Feltcraft,20150.99,7355,810,3.3,1.09,0.0984
22569,Feltcraft Cushion Butterfly,Feltcraft,20104.43,5521,784,4.19,0.63,0.0982
21622,Vintage Union Jack Cushion Cover,Vintage,19936.94,3699,626,5.84,2.62,0.0974
22900,Set 2 Tea Towels I Love London,Set,19834.04,6156,723,3.68,1.46,0.0969
22413,Metal Sign Take It Or Leave It,Metal,19728.24,6976,881,3.3,0.67,0.0963
21174,Pottering In The Shed Metal Sign,Pottering,19593.809999999998,9696,1135,2.51,0.26,0.0957
21936,Red Retrospot Picnic Bag,Red,19576.72,6680,935,3.63,2.23,0.0956
22561,Wooden School Colouring Set,Wooden,19524.269999999997,11642,904,1.74,1.18,0.0954
22558,Clothes Pegs Retrospot Pack 24,Clothes,19513.17,13809,1202,1.67,1.22,0.0953
22169,Family Album White Picture Frame,Family,19507.6,2275,701,9.79,4.76,0.0953
22384,Lunch Bag Pink Polkadot,Lunch,19500.66,11751,1281,2.01,1.66,0.0952
84946,Antique Silver T-Light Glass,Antique,19381.62,14664,689,1.5,2.51,0.0947
22427,Enamel Flower Jug Cream,Enamel,19273.280000000002,3210,798,6.53,2.43,0.0941
22083,Paper Chain Kit Retrospot,Paper,19261.030000000002,6137,810,3.78,0.91,0.0941
21340,Classic Metal Birdcage Plant Holder,Classic,19194.13,1758,419,13.08,3.23,0.0937
21908,Chocolate This Way Metal Sign,Chocolate,19125.980000000003,9678,974,2.46,0.41,0.0934
22061,Large Cake Stand  Hanging Strawbery,Large,19121.37,2171,520,11.22,10.94,0.0934
84949,Silver Hanging T-Light Holder,Silver,19015.8,11945,693,1.83,8.58,0.0929
84947,Antique Silver Tea Glass Engraved,Antique,18744.170000000002,15810,680,1.44,1.69,0.0915
22383,Lunch Bag Suki Design,Lunch,18699.43,10301,1084,2.12,1.3,0.0913
22041,"Record Frame 7"" Single Size",Record,18650.87,7540,555,3.56,0.88,0.0911
71053,White Metal Lantern,White,18525.22,4700,701,4.43,2.49,0.0905
22555,Plasters In Tin Strongman,Plasters,18323.32,11321,956,1.81,0.81,0.0895
21484,Chick Grey Hot Water Bottle,Chick,18171.14,4584,864,4.57,0.46,0.0887
79323W,White Cherry Lights,White,18048.72,3004,349,7.03,26.47,0.0881
21430,Set/3 Red Gingham Rose Storage Box,Set/3,18044.97,4621,814,4.76,2.62,0.0881
22505,Memo Board Cottage Design,Memo,18034.63,3773,744,5.47,1.57,0.0881
22147,Feltcraft Butterfly Hearts,Feltcraft,17893.579999999998,12828,1132,1.62,1.1,0.0874
22560,Traditional Modelling Clay,Traditional,17861.71,14836,742,1.37,0.53,0.0872
84945,Multi Colour Silver T-Light Holder,Multi,17746.71,21605,653,1.08,4.62,0.0867
21914,Blue Harmonica In Box,Blue,17725.36,12957,963,1.45,0.51,0.0866
22297,Heart Ivory Trellis Small,Heart,17702.62,13715,969,1.65,0.6,0.0865
22847,Bread Bin Diner Style Ivory,Bread,17669.989999999998,1112,472,17.21,6.95,0.0863
22633,Hand Warmer Union Jack,Hand,17576.670000000002,8541,858,2.21,0.99,0.0858
84467,English Rose Design Quilted Throw,English,17477.66,816,83,24.04,1.19,0.0854
21136,Painted Metal Pears Assorted,Painted,17451.45,10496,739,1.97,0.53,0.0852
22557,Plasters In Tin Vintage Paisley,Plasters,17401.3,10369,1126,1.83,0.77,0.085
23203,Jumbo Bag Doiley Patterns,Jumbo,17268.69,8893,514,2.24,1.35,0.0843
84992,72 Sweetheart Fairy Cake Cases,72,17259.85,34797,1460,0.69,0.46,0.0843
21928,Jumbo Bag Scandinavian Blue Paisley,Jumbo,17239.69,8411,662,2.68,1.52,0.0842
84970L,Single Heart Zinc T-Light Holder,Single,17177.04,17400,1080,1.24,0.28,0.0839
21889,Wooden Box Of Dominoes,Wooden,17095.66,12805,1123,1.55,1.13,0.0835
21527,Red Retrospot Traditional Teapot,Red,17030.56,2337,570,8.78,11.96,0.0832
22654,Deluxe Sewing Kit,Deluxe,16971.27,2534,597,7.36,3.99,0.0829
21559,Strawberry Lunch Box With Cutlery,Strawberry,16891.44,6779,1038,3.07,1.51,0.0825
22652,Travel Sewing Kit,Travel,16794.05,9910,830,1.91,1.29,0.082
22952,60 Cake Cases Vintage Christmas,60,16770.31,27970,1039,0.74,0.42,0.0819
21164,Home Sweet Home Metal Sign,Home,16626.41,5981,721,3.27,0.69,0.0812
22993,Set Of 4 Pantry Jelly Moulds,Set,16478.48,12649,1073,1.5,0.82,0.0805
72760B,Vintage Cream 3 Basket Cake Stand,Vintage,16409.02,1699,494,10.82,1.0,0.0801
22487,White Wood Garden Plant Ladder,White,16373.699999999999,1632,898,10.69,3.95,0.08
21843,Retro Spot Cake Stand,Retro,16354.009999999998,1493,340,12.18,9.2,0.0799
23301,Gardeners Kneeling Pad Keep Calm,Gardeners,16327.349999999999,8807,913,1.94,1.18,0.0797
22662,Lunch Bag Dolly Girl Design,Lunch,16213.61,9951,994,1.92,0.99,0.0792
48173C,Doormat Black Flock,Doormat,16032.710000000001,2844,320,8.21,0.79,0.0783
22296,Heart Ivory Trellis Large,Heart,16027.559999999998,9719,833,1.81,0.35,0.0783
22692,Doormat Welcome To Our Home,Doormat,15965.95,2135,606,9.48,0.49,0.078
21877,Home Sweet Home Mug,Home,15954.75,14054,755,1.58,2.95,0.0779
22634,Childs Breakfast Set Spaceboy,Childs,15946.55,1688,499,10.16,9.57,0.0779
20685,Door Mat Red Spot,Door,15889.75,2485,412,7.83,0.69,0.0776
35004C,Set Of 3 Coloured  Flying Ducks,Set,15874.38,3035,355,7.76,8.03,0.0775
22759,Set Of 3 Notebooks In Parcel,Set,15866.56,9380,795,1.97,0.37,0.0775
22837,Hot Water Bottle Babushka,Hot,15837.18,3398,436,5.31,0.43,0.0773
22690,Doormat Home Sweet Home Blue,Doormat,15836.35,2530,437,8.21,0.9,0.0773
23313,Vintage Christmas Bunting,Vintage,15798.66,2990,401,5.55,0.49,0.0772
22635,Childs Breakfast Set Dolly Girl,Childs,15795.01,1660,485,10.3,5.07,0.0771
84997D,Pink 3 Piece Mini Dots Cutlery Set,Pink,15759.53,4353,447,3.94,0.81,0.077
84375,Set Of 20 Kids Cookie Cutters,Set,15753.18,7575,796,2.51,0.62,0.0769
22632,Hand Warmer Red Retrospot,Hand,15664.130000000001,7698,733,2.22,1.47,0.0765
22193,Red Diner Wall Clock,Red,15658.98,1850,616,9.22,2.83,0.0765
22170,Picture Frame Wood Triple Portrait,Picture,15645.27,2385,575,7.42,4.49,0.0764
22619,Set Of 6 Soldier Skittles,Set,15620.09,4008,708,4.45,0.42,0.0763
21891,Traditional Wooden Skipping Rope,Traditional,15547.75,12142,835,1.54,1.49,0.0759
48111,Doormat 3 Smiley Cats,Doormat,15437.73,2419,436,9.38,0.41,0.0754
22173,Metal 4 Hook Hanger French Chateau,Metal,15411.9,5026,997,3.73,0.98,0.0753
85014B,Red/White Dots Ruffled Umbrella,Red/White,15400.28,3456,416,6.54,1.32,0.0752
84378,Set Of 3 Heart Cookie Cutters,Set,15388.44,11637,1248,1.6,0.71,0.0752
85014B,Red Retrospot Umbrella,Red,15376.300000000001,2699,484,6.78,1.32,0.0751
22749,Feltcraft Princess Charlotte Doll,Feltcraft,15354.35,3759,685,4.08,0.14,0.075
21094,Set/6 Red Spotty Paper Plates,Set/6,15334.029999999999,19633,984,0.99,0.5,0.0749
84997B,Red 3 Piece Mini Dots Cutlery Set,Red,15324.35,4205,493,3.91,0.67,0.0748
22940,Feltcraft Christmas Fairy,Feltcraft,15282.81,3491,586,4.53,1.16,0.0746
22909,Set Of 20 Vintage Christmas Napkins,Set,15275.82,17144,1086,0.98,1.06,0.0746
21975,Pack Of 60 Dinosaur Cake Cases,Pack,15236.619999999999,31332,1303,0.63,0.3,0.0744
21165,Beware Of The Cat Metal Sign,Beware,15167.38,9360,966,2.12,0.61,0.0741
21217,Red Retrospot Round Cake Tins,Red,15123.2,1420,465,12.52,3.02,0.0739
20750,Red Retrospot Mini Cases,Red,15118.47,2066,508,8.2,0.98,0.0738
82582,Area Patrolled Metal Sign,Area,15110.980000000001,7479,796,2.35,0.99,0.0738
35970,Zinc Folkart Sleigh Bells,Zinc,15072.58,8375,692,2.26,0.98,0.0736
22946,Wooden Advent Calendar Cream,Wooden,15060.57,976,275,18.38,4.83,0.0736
22606,Wooden Skittles Garden Set,Wooden,14881.94,1069,374,16.36,4.31,0.0727
22730,Alarm Clock Bakelike Ivory,Alarm,14867.27,3702,746,4.4,1.83,0.0726
21770,Open Closed Metal Sign,Open,14807.300000000001,2991,651,5.44,0.61,0.0723
17003,Brocade Ring Purse,Brocade,14766.42,70369,456,0.3,1.28,0.0721
22485,Set Of 2 Wooden Market Crates,Set,14677.84,1101,419,14.76,1.87,0.0717
21912,Vintage Snakes & Ladders,Vintage,14651.33,3734,828,4.68,0.36,0.0716
21217,Red Spotty Round Cake Tins,Red,14646.039999999999,1484,463,10.81,3.02,0.0715
